CUSTOMER_NAME,CUSTOMER_NUMBER,ACCOUNT_GROUP_TXT,CVR_Company_status
CUSTOMER_NAME_0,35016,Debtors,Normal
CUSTOMER_NAME_1,38336,Debtors,Normal
CUSTOMER_NAME_2,38438,Debtors,Normal
CUSTOMER_NAME_3,45001,Debtors,Normal
CUSTOMER_NAME_2,45005,Debtors,Normal
CUSTOMER_NAME_4,48578,Debtors,Normal
CUSTOMER_NAME_5,53730,Debtors,Normal
CUSTOMER_NAME_6,55154,Debtors,Active
CUSTOMER_NAME_7,55753,Debtors,Normal
CUSTOMER_NAME_8,59512,Debtors,Normal
CUSTOMER_NAME_9,62787,Debtors,Normal
CUSTOMER_NAME_10,63333,Debtors,Normal
CUSTOMER_NAME_11,64451,Debtors,Normal
CUSTOMER_NAME_12,65773,Debtors,Normal
CUSTOMER_NAME_13,66247,Debtors,Normal
CUSTOMER_NAME_14,74244,Debtors,Normal
CUSTOMER_NAME_15,77514,Debtors,Normal
CUSTOMER_NAME_16,82617,Debtors,Active
CUSTOMER_NAME_17,85411,Debtors,Normal
CUSTOMER_NAME_18,92344,Debtors,Normal
CUSTOMER_NAME_19,102106,Debtors,Normal
CUSTOMER_NAME_20,321100,Debtors,Normal
CUSTOMER_NAME_21,321221,Debtors,Normal
CUSTOMER_NAME_22,817148,Debtors,Normal
CUSTOMER_NAME_23,821503,Debtors,Normal
CUSTOMER_NAME_24,822046,Debtors,Active
CUSTOMER_NAME_25,822705,Debtors,Normal
CUSTOMER_NAME_26,823848,Debtors,Active
CUSTOMER_NAME_27,838900,Debtors,Active
CUSTOMER_NAME_28,971302,Debtors,Normal
CUSTOMER_NAME_29,989379,Debtors,Normal
CUSTOMER_NAME_30,990577,Debtors,Normal
CUSTOMER_NAME_31,991870,Debtors,Normal
CUSTOMER_NAME_32,14631,Debtors,Normal
CUSTOMER_NAME_33,16482,Debtors,Normal
CUSTOMER_NAME_34,17066,Debtors,Normal
CUSTOMER_NAME_35,34332,Debtors,Normal
CUSTOMER_NAME_36,34636,Debtors,Normal
CUSTOMER_NAME_37,36515,Debtors,Normal
CUSTOMER_NAME_38,41192,Debtors,Active
CUSTOMER_NAME_39,44838,Debtors,Normal
CUSTOMER_NAME_40,44866,Debtors,Normal
CUSTOMER_NAME_41,44925,Debtors,Normal
CUSTOMER_NAME_42,46783,Debtors,Normal
CUSTOMER_NAME_43,46939,Debtors,Normal
CUSTOMER_NAME_44,47696,Debtors,Normal
CUSTOMER_NAME_45,48337,Debtors,Normal
CUSTOMER_NAME_46,50795,Debtors,Active
CUSTOMER_NAME_47,50845,Debtors,Active
CUSTOMER_NAME_48,51650,Debtors,Normal
CUSTOMER_NAME_49,52109,Debtors,Normal
CUSTOMER_NAME_50,52284,Debtors,Normal
CUSTOMER_NAME_51,52511,Debtors,Normal
CUSTOMER_NAME_52,53583,Debtors,Normal
CUSTOMER_NAME_53,53634,Debtors,Normal
CUSTOMER_NAME_54,53662,Debtors,Normal
CUSTOMER_NAME_55,56378,Debtors,Normal
CUSTOMER_NAME_56,57730,Debtors,Normal
CUSTOMER_NAME_57,58132,Debtors,Normal
CUSTOMER_NAME_58,58166,Debtors,Normal
CUSTOMER_NAME_59,58317,Debtors,Normal
CUSTOMER_NAME_60,58689,Debtors,Active
CUSTOMER_NAME_61,60075,Debtors,Active
CUSTOMER_NAME_62,60590,Debtors,Normal
CUSTOMER_NAME_63,61391,Debtors,Active
CUSTOMER_NAME_64,62207,Debtors,Normal
CUSTOMER_NAME_65,62968,Debtors,Normal
CUSTOMER_NAME_66,63902,Debtors,Normal
CUSTOMER_NAME_67,66316,Debtors,Normal
CUSTOMER_NAME_68,67072,Debtors,Normal
CUSTOMER_NAME_69,68024,Debtors,Active
CUSTOMER_NAME_70,70877,Debtors,Active
CUSTOMER_NAME_71,72000,Debtors,
CUSTOMER_NAME_72,73906,Debtors,Normal
CUSTOMER_NAME_73,74587,Debtors,Normal
CUSTOMER_NAME_74,75534,Debtors,Normal
CUSTOMER_NAME_75,75786,Debtors,Normal
CUSTOMER_NAME_76,78584,Debtors,Active
CUSTOMER_NAME_77,78749,Debtors,Normal
CUSTOMER_NAME_78,79172,Debtors,Normal
CUSTOMER_NAME_79,80681,Debtors,Normal
CUSTOMER_NAME_80,81309,Debtors,Normal
CUSTOMER_NAME_81,81917,Debtors,Normal
CUSTOMER_NAME_82,83868,Debtors,Normal
CUSTOMER_NAME_83,84491,Debtors,Normal
CUSTOMER_NAME_84,84648,Debtors,Normal
CUSTOMER_NAME_85,84906,Debtors,Active
CUSTOMER_NAME_86,88364,Debtors,Normal
CUSTOMER_NAME_87,77194,Debtors,Normal
CUSTOMER_NAME_88,89570,Debtors,Active
CUSTOMER_NAME_89,90568,Debtors,
CUSTOMER_NAME_75,91112,Debtors,Normal
CUSTOMER_NAME_90,92615,Debtors,Inactive
CUSTOMER_NAME_91,100316,Debtors,Normal
CUSTOMER_NAME_92,100340,Debtors,Normal
CUSTOMER_NAME_93,101210,Debtors,Active
CUSTOMER_NAME_94,105058,Debtors,Normal
CUSTOMER_NAME_39,161440,Debtors,Normal
CUSTOMER_NAME_95,193320,Debtors,Normal
CUSTOMER_NAME_96,290150,Debtors,Normal
CUSTOMER_NAME_97,348900,Debtors,Normal
CUSTOMER_NAME_98,348909,Debtors,Normal
CUSTOMER_NAME_99,442330,Debtors,Normal
CUSTOMER_NAME_100,464180,Debtors,Active
CUSTOMER_NAME_101,478760,Debtors,Normal
CUSTOMER_NAME_35,665300,Debtors,Normal
CUSTOMER_NAME_102,790200,Debtors,Normal
CUSTOMER_NAME_103,790310,Debtors,Normal
CUSTOMER_NAME_104,793270,Debtors,Active
CUSTOMER_NAME_105,812924,Debtors,Active
CUSTOMER_NAME_106,821268,Debtors,Active
CUSTOMER_NAME_107,825934,Debtors,Normal
CUSTOMER_NAME_108,826408,Debtors,Active
CUSTOMER_NAME_109,990531,Debtors,Normal
CUSTOMER_NAME_110,991238,Debtors,Normal
CUSTOMER_NAME_111,995000,Debtors,Active
CUSTOMER_NAME_112,996442,Debtors,Normal
CUSTOMER_NAME_113,15761,Debtors,Active
CUSTOMER_NAME_114,23760,Debtors,Active
CUSTOMER_NAME_115,29935,Debtors,Active
CUSTOMER_NAME_116,32962,Debtors,Active
CUSTOMER_NAME_117,33330,Debtors,Active
CUSTOMER_NAME_118,34369,Debtors,Active
CUSTOMER_NAME_119,37818,Debtors,Active
CUSTOMER_NAME_120,45144,Debtors,Active
CUSTOMER_NAME_121,45454,Debtors,Active
CUSTOMER_NAME_122,53081,Debtors,Active
CUSTOMER_NAME_123,63479,Debtors,Active
CUSTOMER_NAME_124,63939,Debtors,Active
CUSTOMER_NAME_125,64382,Debtors,Active
CUSTOMER_NAME_126,66729,Debtors,Active
CUSTOMER_NAME_125,69213,Debtors,Active
CUSTOMER_NAME_127,70866,Debtors,Active
CUSTOMER_NAME_128,78185,Debtors,Active
CUSTOMER_NAME_129,80314,Debtors,Active
CUSTOMER_NAME_125,91919,Debtors,Active
CUSTOMER_NAME_130,130430,Debtors,Active
CUSTOMER_NAME_131,530410,Debtors,Active
CUSTOMER_NAME_132,15566,Debtors,Normal
CUSTOMER_NAME_133,20123,Debtors,Normal
CUSTOMER_NAME_134,21748,Debtors,Normal
CUSTOMER_NAME_135,31038,Debtors,Normal
CUSTOMER_NAME_136,34320,Debtors,Normal
CUSTOMER_NAME_137,34667,Debtors,Normal
CUSTOMER_NAME_138,35689,Debtors,Normal
CUSTOMER_NAME_139,38296,Debtors,Normal
CUSTOMER_NAME_140,40256,Debtors,Normal
CUSTOMER_NAME_141,41695,Debtors,Normal
CUSTOMER_NAME_142,42705,Debtors,Normal
CUSTOMER_NAME_143,48277,Debtors,Normal
CUSTOMER_NAME_144,49070,Debtors,Normal
CUSTOMER_NAME_133,50101,Debtors,Normal
CUSTOMER_NAME_145,53697,Debtors,Normal
CUSTOMER_NAME_133,53879,Debtors,Normal
CUSTOMER_NAME_146,53947,Debtors,Normal
CUSTOMER_NAME_147,53978,Debtors,Normal
CUSTOMER_NAME_148,56916,Debtors,Normal
CUSTOMER_NAME_149,60091,Debtors,Normal
CUSTOMER_NAME_150,60598,Debtors,Normal
CUSTOMER_NAME_151,60636,Debtors,Normal
CUSTOMER_NAME_152,62194,Debtors,Normal
CUSTOMER_NAME_133,62634,Debtors,Normal
CUSTOMER_NAME_153,65348,Debtors,Normal
CUSTOMER_NAME_154,69285,Debtors,Normal
CUSTOMER_NAME_155,71595,Debtors,Normal
CUSTOMER_NAME_156,71720,Debtors,Normal
CUSTOMER_NAME_157,73385,Debtors,Normal
CUSTOMER_NAME_143,76319,Debtors,Normal
CUSTOMER_NAME_158,79878,Debtors,Normal
CUSTOMER_NAME_133,80328,Debtors,Normal
CUSTOMER_NAME_132,80349,Debtors,Normal
CUSTOMER_NAME_159,81992,Debtors,Normal
CUSTOMER_NAME_134,82953,Debtors,Normal
CUSTOMER_NAME_160,84377,Debtors,Normal
CUSTOMER_NAME_160,84378,Debtors,Normal
CUSTOMER_NAME_160,84380,Debtors,Normal
CUSTOMER_NAME_133,86206,Debtors,Normal
CUSTOMER_NAME_160,86842,Debtors,Normal
CUSTOMER_NAME_161,89346,Debtors,Normal
CUSTOMER_NAME_162,89745,Debtors,Normal
CUSTOMER_NAME_160,92580,Debtors,Normal
CUSTOMER_NAME_159,100060,Debtors,Normal
CUSTOMER_NAME_163,100983,Debtors,Normal
CUSTOMER_NAME_164,101180,Debtors,Normal
CUSTOMER_NAME_165,101584,Debtors,Normal
CUSTOMER_NAME_166,101595,Debtors,Normal
CUSTOMER_NAME_167,103301,Debtors,Normal
CUSTOMER_NAME_168,103703,Debtors,Normal
CUSTOMER_NAME_169,104300,Debtors,Normal
CUSTOMER_NAME_170,110102,Debtors,Normal
CUSTOMER_NAME_171,208200,Debtors,Normal
CUSTOMER_NAME_172,319010,Debtors,Normal
CUSTOMER_NAME_160,319700,Debtors,Normal
CUSTOMER_NAME_160,319701,Debtors,Normal
CUSTOMER_NAME_173,402030,Debtors,Normal
CUSTOMER_NAME_174,402400,Debtors,Normal
CUSTOMER_NAME_175,620052,Debtors,Normal
CUSTOMER_NAME_176,660380,Debtors,Normal
CUSTOMER_NAME_177,767740,Debtors,Normal
CUSTOMER_NAME_178,781288,Debtors,Active
CUSTOMER_NAME_179,781666,Debtors,Normal
CUSTOMER_NAME_180,809611,Debtors,Normal
CUSTOMER_NAME_181,817405,Debtors,Normal
CUSTOMER_NAME_182,960240,Debtors,Normal
CUSTOMER_NAME_183,982152,Debtors,Normal
CUSTOMER_NAME_184,983252,Debtors,Normal
CUSTOMER_NAME_185,21002,Debtors,Normal
CUSTOMER_NAME_186,24157,Debtors,Normal
CUSTOMER_NAME_187,41739,Debtors,Normal
CUSTOMER_NAME_187,55499,Debtors,Normal
CUSTOMER_NAME_188,67487,Debtors,Normal
CUSTOMER_NAME_189,84733,Debtors,Normal
CUSTOMER_NAME_190,106083,Debtors,Normal
CUSTOMER_NAME_188,777812,Debtors,Normal
CUSTOMER_NAME_191,10095,Debtors,Normal
CUSTOMER_NAME_192,11410,Debtors,Normal
CUSTOMER_NAME_193,14553,Debtors,Normal
CUSTOMER_NAME_194,16347,Debtors,Active
CUSTOMER_NAME_195,16797,Debtors,Normal
