Primary_Key,ProdCat1,ProdCat2,GROSS_TURNOVER,INVOICE_NUMBER,Cluster
100027_Customer Group_2392,Broadband and Internet Services,4G Services,15516.8424,5,2
100027_Customer Group_2392,Data and Analytics,Data Analytics Services,81.9016,1,2
100027_Customer Group_2392,Data and Analytics,Predictive Analytics,562.2816,1,2
100027_Customer Group_2392,Mobile Services,GPS Tracking Services,2845.8,1,2
100027_Customer Group_2392,Mobile Services,Mobile Device Management (MDM),776.3052,3,2
100027_Customer Group_2392,Mobile Services,Mobile Plans (Postpaid),15398.8194,3,2
100027_Customer Group_2392,Network and Infrastructure,Carrier Services,2098.055,1,2
100027_Customer Group_2392,Television and Entertainment,News Subscription Packages,10331.2775,3,2
100141_Customer Group_2394,Broadband and Internet Services,4G Services,2917.7492,3,8
100141_Customer Group_2394,Cloud and Hosting Services,Private Cloud Services,2533.044,1,8
100141_Customer Group_2394,Devices and Accessories,Data Center Equipment - Storage Solutions,7377.7851,4,8
100141_Customer Group_2394,Devices and Accessories,Enterprise networking equipment,21901.4456,5,8
100141_Customer Group_2394,Digital Transformation Services,Cloud and Hosting Services,30117.5616,7,8
100141_Customer Group_2394,Digital Transformation Services,Cloud-native Development,378.0944,1,8
100141_Customer Group_2394,Mobile Services,Mobile Plans (Postpaid),13745.5743,3,8
100141_Customer Group_2394,Television and Entertainment,News Subscription Packages,633.1325,1,8
100141_Customer Group_2394,Television and Entertainment,Sports Subscription Packages,6629.8127,3,8
10014_Customer Group_198,Business Solutions,Asset Tracking Solutions,376.714,2,5
10014_Customer Group_198,Cloud and Hosting Services,Application Hosting Services,85.6954,1,5
10014_Customer Group_198,Cloud and Hosting Services,Cloud PBX Services,371.8002,1,5
10014_Customer Group_198,Communication Tools,Virtual Event Hosting,149.2344,1,5
10014_Customer Group_198,Mobile Services,Mobile Device Management (MDM),2906.1092,2,5
10014_Customer Group_198,Mobile Services,Mobile Plans (Prepaid),62.8898,1,5
10014_Customer Group_198,Network and Infrastructure,Carrier Services,2562.9709000000003,3,5
10014_Customer Group_198,Network and Infrastructure,Network Design Services,154.187,1,5
10014_Customer Group_198,Network and Infrastructure,Network Equipment Sales,1418.6378,2,5
10014_Customer Group_198,Network and Infrastructure,Wholesale Telecom Services,9564.9023,2,5
10014_Customer Group_198,Security and Privacy,Access Control Solutions,1410.4656,2,5
10014_Customer Group_198,Security and Privacy,Cybersecurity Solutions,3646.3325,3,5
10014_Customer Group_198,Security and Privacy,Encrypted Communication Services,11851.2576,1,5
10014_Customer Group_198,Security and Privacy,Network Security Solutions,410.079,2,5
10014_Customer Group_198,Television and Entertainment,Local TV Channels,629.2,1,5
10014_Customer Group_198,Television and Entertainment,Over-the-Top (OTT) Services,105.7384,2,5
10014_Customer Group_198,Television and Entertainment,Premium TV Channels,121.65690000000001,1,5
10014_Customer Group_198,Television and Entertainment,Smart TV Services,463.0739,3,5
100159_Customer Group_556,Business Solutions,Asset Tracking Solutions,6074.0034000000005,4,5
100159_Customer Group_556,Business Solutions,Contact Center Solutions,217.56,2,5
100159_Customer Group_556,Business Solutions,Digital Workspace Solutions,1151.613,1,5
100159_Customer Group_556,Business Solutions,Managed IT Services,947.712,2,5
100159_Customer Group_556,Business Solutions,Workforce Management Solutions,37.9776,1,5
100159_Customer Group_556,Cloud and Hosting Services,Application Hosting Services,38919.2328,25,5
100159_Customer Group_556,Cloud and Hosting Services,Cloud PBX Services,4613.9659,4,5
100159_Customer Group_556,Cloud and Hosting Services,Data Backup Services,3649.5722,9,5
100159_Customer Group_556,Cloud and Hosting Services,Hybrid Cloud Services,152.1459,2,5
