ProductID,GROSS_TURNOVER,AMOUNT,Invoice_count,Main_account_count,ProdCat1,ProdCat2,%Gross_Turnover,Cum_%Gross_Turnover
5733101996,1154840.4474,96148,1,1,Network and Infrastructure,Carrier Services,1.3720197582548643,1.3720197582548643
7835990100,864082.8887,111480,1,1,Network and Infrastructure,Carrier Services,1.0265823289576088,2.398602087212473
5733105976,739366.4823,106979,1,1,Network and Infrastructure,Carrier Services,0.8784117534078981,3.2770138406203713
5733105918,626607.677,138046,1,1,Network and Infrastructure,Carrier Services,0.7444475255900032,4.021461366210374
7830203818,518765.444,169734,1,1,Cloud and Hosting Services,Data Backup Services,0.6163244807283128,4.637785846938687
5733105947,496289.43700000003,65521,1,1,Network and Infrastructure,Carrier Services,0.5896216355343278,5.227407482473015
JSU 60,482666.8823,1856,1,1,Broadband and Internet Services,4G Services,0.5734372230049717,5.800844705477987
7524615699,426698.4505,3062,1,1,Network and Infrastructure,Network Integration Services,0.5069433671298819,6.307788072607869
4356922354,376477.77,19788,1,1,Broadband and Internet Services,5G Services,0.44727818474548037,6.755066257353349
JRRG26265SK,374953.93,18651,1,1,Devices and Accessories,Enterprise networking equipment,0.4454677713735499,7.200534028726898
403222100,331891.3591,2420,1,1,Business Solutions,Digital Workspace Solutions,0.39430685278166194,7.59484088150856
8211982168,331470.1274,71,1,1,Security and Privacy,Encrypted Communication Services,0.3938064042422083,7.988647285750768
4330701810,328659.0392,128,1,1,Network and Infrastructure,Wholesale Telecom Services,0.3904666627555982,8.379113948506367
7524615709,316591.121,2382,1,1,Network and Infrastructure,Network Integration Services,0.3761292516883978,8.755243200194764
4368409356,299279.9995,219,1,1,Business Solutions,Contact Center Solutions,0.35556260043451776,9.110805800629281
3322098056,296551.9081,535,1,1,Network and Infrastructure,Network Infrastructure Services,0.3523214641272884,9.463127264756569
1017041679,289373.3651,3723,1,1,Mobile Services,Mobile Device Management (MDM),0.3437929242292822,9.80692018898585
4329411031,253322.2056,991,1,1,Mobile Services,Mobile Plans (Prepaid),0.30096198316434286,10.107882172150195
JS2 256,253100.738,885,1,1,Broadband and Internet Services,4G Services,0.3006988663643578,10.408581038514553
5734411818,248714.36980000001,545,1,1,Cloud and Hosting Services,Cloud PBX Services,0.2954875976986905,10.704068636213243
JPC 363,245178.123,207,1,1,Devices and Accessories,Enterprise networking equipment,0.2912863242755186,10.995354960488761
7839600946,240342.0496,1598756,1,1,Security and Privacy,Network Security Solutions,0.28554077884358536,11.280895739332347
4448142226,221941.8864,40,1,1,Devices and Accessories,Network switches,0.2636802806922162,11.544576020024564
1017059111,210738.271,9137,1,1,Mobile Services,Mobile Device Management (MDM),0.2503697132217956,11.79494573324636
JREU573,210146.9676,723,1,1,Digital Transformation Services,Cloud and Hosting Services,0.249667209296037,12.044612942542397
1017060498,203650.6707,2283,1,1,Mobile Services,Mobile Device Management (MDM),0.24194921870923639,12.286562161251632
5733101970,200408.8691,18403,1,1,Network and Infrastructure,Carrier Services,0.23809776385453674,12.52465992510617
7889222086,198092.0331,181,1,1,Broadband and Internet Services,Broadband Internet (Fiber),0.23534522364364202,12.760005148749812
7889411208,196654.77889999998,248,1,1,Broadband and Internet Services,Broadband Internet (Fiber),0.2336376793984829,12.993642828148294
4441429322,190633.2811,499,1,1,Data and Analytics,Predictive Analytics,0.22648377863713678,13.220126606785431
4568750158,190406.79239999998,28,1,1,Business Solutions,Contact Center Solutions,0.22621469646901468,13.446341303254446
7857029004,187157.4691,346,1,1,Security and Privacy,Digital ID Services,0.2223543053833068,13.668695608637753
1017054433,185651.1359,3714,1,1,Mobile Services,Mobile Device Management (MDM),0.2205646911404317,13.889260299778185
4330705191,180054.0956,55,1,1,Mobile Services,Mobile Plans (Prepaid),0.21391507136253274,14.103175371140717
4486804453,173568.9361,66,1,1,Network and Infrastructure,Wholesale Telecom Services,0.2062103126753335,14.30938568381605
8211981020,172655.7805,57,1,1,Security and Privacy,Encrypted Communication Services,0.20512542902029543,14.514511112836345
1017036338,166192.0185,1705,1,1,Mobile Services,Mobile Device Management (MDM),0.1974460918472485,14.711957204683594
3322097167,166068.42369999998,51,1,1,Network and Infrastructure,Network Infrastructure Services,0.1972992538074142,14.909256458491008
JPM4213,162244.7662,274,1,1,Devices and Accessories,Enterprise networking equipment,0.19275651922393952,15.102012977714947
4356922356,159133.38,8228,1,1,Broadband and Internet Services,5G Services,0.1890600056912065,15.291072983406155
7857041286,151364.1362,190,1,1,Security and Privacy,Digital ID Services,0.17982967779240633,15.470902661198561
7857029017,147436.1877,263,1,1,Security and Privacy,Digital ID Services,0.17516303924199808,15.646065700440559
601021600,146773.1271,86,1,1,Communication Tools,Web Conferencing Services,0.17437528345619366,15.820440983896752
JLV 2115,143996.0104,456,1,1,Devices and Accessories,Enterprise networking equipment,0.17107590215035356,15.991516886047105
7899996836,141834.1645,101,1,1,IoT and Smart Solutions,Internet of Things (IoT) Solutions,0.16850749947985472,16.16002438552696
3805700079,138750.05550000002,187,1,1,Devices and Accessories,Data Center Equipment - Rack Solutions,0.16484339289773914,16.3248677784247
JFKF212,137617.103,269,1,1,Devices and Accessories,Enterprise networking equipment,0.16349737733458153,16.488365155759283
1028004281,137410.5368,11505,1,1,Cloud and Hosting Services,Application Hosting Services,0.16325196429209096,16.651617120051373
5735003403,133439.2875,39335,1,1,Cloud and Hosting Services,Cloud PBX Services,0.1585338817926229,16.810151001843995
3322069768,132019.9298,433,1,1,Network and Infrastructure,Network Infrastructure Services,0.15684759966350673,16.966998601507502
4333958161,130123.0596,722,1,1,Mobile Services,Mobile Plans (Prepaid),0.1545940040268937,17.121592605534396
7857024407,129998.989,364,1,1,Digital Transformation Services,Remote Work Solutions,0.15444660070810468,17.2760392062425
4356922397,128669.2833,7031,1,1,Broadband and Internet Services,5G Services,0.15286683053537517,17.428906036777878
3033779169,128020.5,2990,1,1,Network and Infrastructure,Carrier Services,0.15209603703881047,17.581002073816688
4443160322,127012.7046,26,1,1,Network and Infrastructure,Wholesale Telecom Services,0.15089871562164728,17.731900789438335
4329770890,124452.9522,132,1,1,Data and Analytics,Data Analytics Services,0.14785757614913633,17.87975836558747
3322097170,124365.86,29,1,1,Network and Infrastructure,Network Infrastructure Services,0.14775410538877382,18.027512470976244
1017043392,122503.38,994,1,1,Mobile Services,Mobile Device Management (MDM),0.14554136737365872,18.173053838349905
7889227751,117829.818,83,1,1,Broadband and Internet Services,Broadband Internet (Fiber),0.13998889523790561,18.31304273358781
3300236155,117686.5889,3057,1,1,Devices and Accessories,Data Center Equipment - Rack Solutions,0.13981873047133594,18.452861464059147
JS0 505,117216.4413,382,1,1,Broadband and Internet Services,4G Services,0.1392601669070372,18.592121630966183
353901315,115757.3,100,1,1,Business Solutions,Workforce Management Solutions,0.13752661947354286,18.729648250439727
439601698,114366.7606,17663,1,1,Security and Privacy,Network Security Solutions,0.13587457521433186,18.865522825654057
7857023754,112553.766,75,1,1,Community and Social Platforms,Professional Networking Platforms,0.1337206288242399,18.999243454478297
403131350,111443.7066,501,1,1,Business Solutions,Digital Workspace Solutions,0.13240181163779183,19.131645266116088
1024001136,108252.4641,164,1,1,Cloud and Hosting Services,Application Hosting Services,0.12861042402815254,19.26025569014424
JRKU403,108113.3968,274,1,1,Digital Transformation Services,Cloud and Hosting Services,0.12844520372974963,19.38870089387399
JSF 5010,106433.6935,355,1,1,Broadband and Internet Services,4G Services,0.12644961540341898,19.51515050927741
7898105453,106046.9096,27,1,1,Cloud and Hosting Services,Platform as a Service (PaaS),0.12599009291772012,19.641140602195133
JFKF2129,105879.2575,142,1,1,Devices and Accessories,Enterprise networking equipment,0.12579091216142535,19.766931514356557
3424008672,104565.943,182,1,1,Security and Privacy,Access Control Solutions,0.12423061571799941,19.891162130074555
